"Name","Link","Floor","7D Sales","Vol.","NA","XP Rank"
"nochillio","https://opensea.io/collection/nochillio","68.49 AVAX","32","1,936.22 AVAX",NA,79
"Azuki Elemental Beans","https://opensea.io/collection/azukielementalbeans","0.6346 ETH","24","17.03 ETH",NA,80
"No-Punks","https://opensea.io/collection/nopunkism","0.0268 ETH","341","16.83 ETH",NA,81
"Hedz by Matt Furie","https://opensea.io/collection/hedz-by-matt-furie","1.35 ETH","12","18.02 ETH",NA,82
"Memeland MVP","https://opensea.io/collection/memelandmvp","23.00 ETH","1","23.90 ETH",NA,83
"8 by Bård Ionson","https://opensea.io/collection/8-by-bard-ionson-1","0.08 ETH","1","22.06 ETH",NA,84
"alignDRAW","https://opensea.io/collection/aligndraw","0.9841 ETH","18","16.48 ETH",NA,85
"CryptoPunks V1 (wrapped)","https://opensea.io/collection/official-v1-punks","1.9476 ETH","8","15.76 ETH",NA,86
"DeepBlack","https://opensea.io/collection/bitairt","0.89 ETH","17","16.82 ETH",NA,87
"Slingshot Genesis Collection","https://opensea.io/collection/slingshot-genesis","0.0344 ETH","343","15.32 ETH",NA,88
"InfiniGods - GOD VAULTS","https://opensea.io/collection/god-vaults-infinigods","0.058 ETH","327","14.84 ETH",NA,89
"Placement by Cooper Jamieson","https://opensea.io/collection/placement-by-cooper-jamieson","0.0415 ETH","9","17.36 ETH",NA,90
"V","https://opensea.io/collection/v-on-vana","0.095 ETH","181","14.84 ETH",NA,91
"77-Bit","https://opensea.io/collection/77bit","0.2399 ETH","52","14.39 ETH",NA,92
"PXL DEX","https://opensea.io/collection/pxl-dex","5.91 ETH","5","14.68 ETH",NA,93
"Ninja Squad Official","https://opensea.io/collection/ninja-squad-official","0.1358 ETH","92","14.37 ETH",NA,94
"GLHFers","https://opensea.io/collection/glhfers","0.1602 ETH","90","14.11 ETH",NA,95
"XCOPY editions 2019-22","https://opensea.io/collection/xcopy-editions","3.25 ETH","7","15.40 ETH",NA,96
"2049 // Reflections","https://opensea.io/collection/2049-reflections","0.1966 ETH","73","13.90 ETH",NA,97
"The Bosu Legacy","https://opensea.io/collection/finalbosu","1.0998 ETH","16","13.83 ETH",NA,98
"ENS: Ethereum Name Service","https://opensea.io/collection/ens","< 0.0001 ETH","952","13.64 ETH",NA,99
"Otherdeed for Otherside","https://opensea.io/collection/otherdeed","0.1519 ETH","71","13.56 ETH",NA,100
"Kemonokaki","https://opensea.io/collection/kemonokaki","0.0845 ETH","165","13.33 ETH",NA,101
"Rumble Kong League","https://opensea.io/collection/rumble-kong-league","0.1489 ETH","54","13.02 ETH",NA,102
"mfers","https://opensea.io/collection/mfers","0.41 ETH","31","13.17 ETH",NA,103
"The Sandbox LANDs","https://opensea.io/collection/sandbox","0.075 WETH","170","13.06 ETH",NA,104
"Base Gods","https://opensea.io/collection/basegods125","1.00 ETH","13","13.71 ETH",NA,105
"Blueprint by Resolv","https://opensea.io/collection/blueprint-by-resolv","0.31 ETH","52","12.71 ETH",NA,106
"Winds of Yawanawa by Yawanawa and Refik Anadol","https://opensea.io/collection/winds-of-yawanawa","7.25 ETH","2","13.82 ETH",NA,107
"Women Unite - 10k Assemble","https://opensea.io/collection/women-unite-10k-assemble","0.128 ETH","90","12.48 ETH",NA,108
"Neo Tokyo Citizens","https://opensea.io/collection/neotokyo-citizens","3.385 ETH","5","13.81 ETH",NA,109
"ChronoForge","https://opensea.io/collection/chronoforge","0.2899 ETH","49","12.16 ETH",NA,110
"World of Women","https://opensea.io/collection/world-of-women-nft","0.389 ETH","25","12.30 ETH",NA,111
"Terraforms by Mathcastles","https://opensea.io/collection/terraforms","0.4596 ETH","24","11.78 ETH",NA,112
"L3E7 Worlds","https://opensea.io/collection/l3e7-worlds","2.20 ETH","7","11.65 ETH",NA,113
"VeeFriends Series 2","https://opensea.io/collection/veefriends-series-2","0.0559 ETH","89","11.24 ETH",NA,114
"Nouns","https://opensea.io/collection/nouns","2.399 ETH","5","11.40 ETH",NA,115
"TENJIN","https://opensea.io/collection/tenjin","0.101 ETH","114","10.84 ETH",NA,116
"MoonCats","https://opensea.io/collection/acclimatedmooncats","0.1319 ETH","85","10.90 ETH",NA,117
"The Plague NFT","https://opensea.io/collection/the-plague","0.16 ETH","69","10.78 ETH",NA,118
"Rare Pepe (2016 - 2018)","https://opensea.io/collection/rare-pepe-curated","0.0043 ETH","559","10.76 ETH",NA,119
"Rug Radio - Genesis NFT","https://opensea.io/collection/ruggenesis-nft","0.1221 ETH","80","10.68 ETH",NA,120
"Farcaster OG","https://opensea.io/collection/farcaster-og-1","1.95 ETH","7","10.45 ETH",NA,121
"IO: Imaginary Ones","https://opensea.io/collection/io-imaginary-ones","0.17 ETH","62","10.35 ETH",NA,122
"goblintown.wtf","https://opensea.io/collection/goblintownwtf","0.1539 ETH","63","10.41 ETH",NA,123
"Infinity Cats","https://opensea.io/collection/infinity-cats-1","0.1149 WETH","113","95K POL",NA,124
"DXNK","https://opensea.io/collection/dxnk","0.0697 ETH","164","10.53 ETH",NA,125
"SchizoPosters","https://opensea.io/collection/schizoposters","0.2479 ETH","42","10.19 ETH",NA,126
"Forgotten Runes Wizards Cult","https://opensea.io/collection/forgottenruneswizardscult","0.3664 ETH","22","10.06 ETH",NA,127
"Wassie on Bera","https://opensea.io/collection/wassie-on-bera-3","13.5497 BERA","330","3,780.73 BERA",NA,128
"Pixelmon Evolution 3 Serum","https://opensea.io/collection/pixelmon-ev-3-serum","0.99 ETH","13","9.98 ETH",NA,129
"SuperCreators Origins","https://opensea.io/collection/supercreatorsorigins","0.53 ETH","18","9.88 ETH",NA,130
"CryptoDickbutts","https://opensea.io/collection/cryptodickbutts-s3","0.69 ETH","13","9.57 ETH",NA,131
"SNACKGANG","https://opensea.io/collection/snackgang-official","0.041 ETH","205","9.52 ETH",NA,132
"My Pet Hooligan","https://opensea.io/collection/mypethooligan","0.2498 ETH","38","9.42 ETH",NA,133
"CrypToadz by GREMPLIN","https://opensea.io/collection/cryptoadz-by-gremplin","0.425 ETH","22","9.92 ETH",NA,134
"Murakami.Flowers Official","https://opensea.io/collection/murakami-flowers-2022-official","0.1949 ETH","47","9.46 ETH",NA,135
"The Memes by 6529","https://opensea.io/collection/thememes6529","0.0181 ETH","159","9.30 ETH",NA,136
"PROOF Pass","https://opensea.io/collection/proof-pass","8.95 ETH","1","9.20 ETH",NA,137
"Morse | The Sidekick for Mitosians","https://opensea.io/collection/morse-lab","0.213 ETH","43","9.20 ETH",NA,138
"MAX PAIN AND FRENS BY XCOPY","https://opensea.io/collection/max-pain-and-frens-by-xcopy","0.60 ETH","15","9.12 ETH",NA,139
"Habbo Avatars","https://opensea.io/collection/habbo-avatars","0.127 ETH","64","9.21 ETH",NA,140
"Persona","https://opensea.io/collection/persona","0.1326 ETH","61","9.05 ETH",NA,141
"Women Unite","https://opensea.io/collection/womenunite","0.2439 ETH","24","10.01 ETH",NA,142
"OnChainMonkey","https://opensea.io/collection/onchainmonkey","0.6836 ETH","14","9.01 ETH",NA,143
"DAMAGE CONTROL","https://opensea.io/collection/damage-control-xcopy","0.6471 ETH","13","9.19 ETH",NA,144
"The Plooshies","https://opensea.io/collection/theplooshies","0.229 ETH","41","8.96 ETH",NA,145
"ShizoPunks","https://opensea.io/collection/shizopunks","1.23 ETH","8","8.82 ETH",NA,146
"Skyborne - Genesis Immortals","https://opensea.io/collection/skyborne-genesisimmortals","0.0445 ETH","180","8.70 ETH",NA,147
"LinksDAO","https://opensea.io/collection/linksdao","0.1503 ETH","50","8.61 ETH",NA,148
"Astar Expansion: Soneium Premium","https://opensea.io/collection/astar-expansion-soneium-premium","0.01 ETH","2,083","8.49 ETH",NA,149
"Sports Rollbots","https://opensea.io/collection/sportsbots","0.30 ETH","8","8.76 ETH",NA,150
"Dojo Kidz","https://opensea.io/collection/dojo-kidz","29.69 APE","807","33.5K APE",NA,151
"Hop_Starz","https://opensea.io/collection/hop-starz","95.00 APE","426","32.8K APE",NA,152
"Supreme Kong","https://opensea.io/collection/supremekong","0.266 ETH","32","8.39 ETH",NA,153
"D0TS","https://opensea.io/collection/d0ts-2","97.00 APE","1,912","33K APE",NA,154
"Damien Hirst - The Currency","https://opensea.io/collection/thecurrency","1.2599 ETH","7","8.17 ETH",NA,155
"BlastRunners","https://opensea.io/collection/re-blastrunners","0.0009 ETH","117","8.02 ETH",NA,156
"ByWassies","https://opensea.io/collection/bywassies","0.2296 ETH","35","7.95 ETH",NA,157
"SuperCreators - Gen Z","https://opensea.io/collection/super-creators-gen-z","0.199 ETH","32","8.23 ETH",NA,158
"Neo Tokyo Outer Citizens","https://opensea.io/collection/neotokyo-outer-citizens","0.5097 ETH","15","7.96 ETH",NA,159
"Gutter Cat Gang","https://opensea.io/collection/guttercatgang","0.2689 ETH","27","8.25 ETH",NA,160
"Seedworld Vanguards","https://opensea.io/collection/seedworld-vanguards-revealed","0.1102 ETH","30","7.80 ETH",NA,161
"Travel Tiger Club","https://opensea.io/collection/travel-tiger-club-travala","2.19 ETH","4","8.11 ETH",NA,162
"Mirandus","https://opensea.io/collection/mirandus","0.0034 ETH","112","7.56 ETH",NA,163
"Somnium Space VR","https://opensea.io/collection/somnium-space","0.135 ETH","8","7.55 ETH",NA,164
"Prometheus by XBorg","https://opensea.io/collection/xborg-prometheus","0.72 ETH","13","8.13 ETH",NA,165
"Nakamigos-CLOAKS","https://opensea.io/collection/nakamigos-cloaks","0.0359 ETH","170","7.29 ETH",NA,166
"Pixelady Maker","https://opensea.io/collection/pixeladymaker","0.0524 ETH","125","7.08 ETH",NA,167
"Memories of Qilin by Emily Xie","https://opensea.io/collection/memories-of-qilin-by-emily-xie","1.649 ETH","7","7.46 ETH",NA,168
"Quirkies Originals","https://opensea.io/collection/quirkiesoriginals","0.7689 ETH","10","6.94 ETH",NA,169
"Capy Friends","https://opensea.io/collection/capy-friends","0.4589 ETH","24","6.89 ETH",NA,170
"Mintify Genesis","https://opensea.io/collection/mintifygenesis","0.097 ETH","74","6.73 ETH",NA,171
"based punks","https://opensea.io/collection/basedpunks","0.124 ETH","40","6.73 ETH",NA,172
"IKB Cachet de Garantie","https://opensea.io/collection/ikb-cachet-de-garantie-1","8.50 ETH","1","7.00 ETH",NA,173
"Based OG by 9mm.Pro","https://opensea.io/collection/based-og-1","0.0169 ETH","379","6.72 ETH",NA,174
"Yeetard NFTs","https://opensea.io/collection/yeetard-nfts","0.1569 ETH","46","6.57 ETH",NA,175
"InfiniGods - InfiniPass","https://opensea.io/collection/infinipass","0.0738 ETH","93","6.50 ETH",NA,176
"Omnia Pets - Genesis","https://opensea.io/collection/omnia-pets-genesis","0.09 ETH","86","6.43 ETH",NA,177
"RG Bytes","https://opensea.io/collection/rg-bytes","0.3999 ETH","15","6.55 ETH",NA,178
"Brotherh00d","https://opensea.io/collection/brotherh00d-2","29.00 APE","1,491","25.2K APE",NA,179
"pARticle pack","https://opensea.io/collection/particle-pack","0.143 ETH","55","6.89 ETH",NA,180
"THC","https://opensea.io/collection/thc-20","6.5999 BERA","357","2,752.26 BERA",NA,181
"Youmio - Mythic Seeds","https://opensea.io/collection/mythicseed","0.115 ETH","55","6.43 ETH",NA,182
"Archetype by Kjetil Golid","https://opensea.io/collection/archetype-by-kjetil-golid","2.48 ETH","3","6.84 ETH",NA,183
"HV-MTL","https://opensea.io/collection/hv-mtl","0.029 ETH","105","6.31 ETH",NA,184
"God Hates NFTees","https://opensea.io/collection/godhatesnftees","0.083 ETH","73","6.29 ETH",NA,185
"OVERWORLD INCARNA","https://opensea.io/collection/overworld-incarna","0.0806 ETH","74","6.26 ETH",NA,186
"BeraTone Founder's Sailcloth","https://opensea.io/collection/beratone-founders-sailcloth","0.475 ETH","16","6.31 ETH",NA,187
"Apes on Ape","https://opensea.io/collection/apes-on-apechain","57.00 APE","305","23.6K APE",NA,188
"Fake Rares","https://opensea.io/collection/fake-rares-curated","0.0185 ETH","40","5.94 ETH",NA,189
"Sugartown Oras","https://opensea.io/collection/sugartownoras","0.0627 ETH","88","5.95 ETH",NA,190
"Miggles","https://opensea.io/collection/miggles-on-base","0.0355 ETH","146","5.93 ETH",NA,191
"Kong On Ape","https://opensea.io/collection/kong-on-ape-1","48.00 APE","1,444","23K APE",NA,192
"Hungrybera (Legacy)","https://opensea.io/collection/hungrybera-ramen-legacy","0.0009 ETH","438","5.74 ETH",NA,193
"Booga Beras","https://opensea.io/collection/booga-beras-5","0.079 ETH","83","5.67 ETH",NA,194
"Matrix Plus Box V2","https://opensea.io/collection/matrix-plus-box-v2","0.8999 ETH","9","6.57 ETH",NA,195
"Unsupervised - Burned - Machine Hallucinations - MoMA Dreams By Refik Anadol","https://opensea.io/collection/unsupervised-burned-machine-hallucinations-moma","7.85 ETH","2","6.00 ETH",NA,196
"The Sad Times NFT","https://opensea.io/collection/thesadtimesbirthcertificate","0.115 ETH","57","5.66 ETH",NA,197
"Everydays: Group Effort by Beeple","https://opensea.io/collection/everydays-group-effort-by-beeple","4.88 ETH","2","5.99 ETH",NA,198
"Peplicator by Matt Furie","https://opensea.io/collection/peplicator-by-matt-furie","0.0347 ETH","132","5.58 ETH",NA,199
"a KID called BEAST","https://opensea.io/collection/akidcalledbeast","0.1554 ETH","33","5.40 ETH",NA,200
"Age of Dino - Dinosty","https://opensea.io/collection/aod-dinosty","0.13 ETH","46","5.64 ETH",NA,201
"MyShell - MySoul","https://opensea.io/collection/myshell-mysoul","0.0744 ETH","96","5.28 ETH",NA,202
"The Llamas","https://opensea.io/collection/the-llamas","0.868 ETH","7","5.15 ETH",NA,203
"Light Years by Dmitri Cherniak","https://opensea.io/collection/light-years-by-dmitri-cherniak","9.42 ETH","1","5.51 ETH",NA,204
"Looki","https://opensea.io/collection/looki","0.1498 ETH","36","5.29 ETH",NA,205
"Wilder Wheels","https://opensea.io/collection/wilderworld","0.255 ETH","18","5.22 ETH",NA,206
"GoPlus EnergyCard","https://opensea.io/collection/goplus-energycard","0.689 ETH","10","5.22 ETH",NA,207
"Larva Lads","https://opensea.io/collection/larva-lads","0.042 ETH","93","5.24 ETH",NA,208
"Treeverse Plots","https://opensea.io/collection/treeverse-plots","0.1495 ETH","35","5.23 ETH",NA,209
"REMNANTS","https://opensea.io/collection/xcopy-remnants","5.439 ETH","1","5.00 ETH",NA,210
"Ethereal Beras","https://opensea.io/collection/ethereal-beras-3","1.29 BERA","1,205","1,938.33 BERA",NA,211
